problem,nx,nt,ny,n_iterations,num_domain,seed,pinn_time,fdm_time,residual_estimation_time,stability_flag,pinn_error_l2,pinn_error_relative_l2,e_res_vs_true_l2,e_res_vs_true_relative_l2,e_fdm_vs_true_l2,e_fdm_vs_true_relative_l2,prob_x_min,prob_x_max,prob_t_max,prob_diffusivity,prob_frequency,prob_velocity_x,prob_phase_shift,prob_propagation_speed,prob_initital_concentration,prob_y_min,prob_y_max
drift_diffusion,16,16,16,0,1000,4,0.0027730464935302734,0.00029277801513671875,0.009035110473632812,true,0.8130261562869663,2.2392801802692555,0.08756662225269914,0.10770455732028325,0.06769679643284385,0.08326521343668743,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
wave,64,64,16,0,1000,5,0.003214120864868164,0.00021791458129882812,0.03697085380554199,false,0.8638319764617826,1.72787488802635,0.0005131714747581765,0.0005940639947829948,0.0002556346352812184,0.0002959309706596953,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
drift_diffusion,16,16,16,10000,100,6,12.726716995239258,0.00034308433532714844,0.010037899017333984,true,0.11825400577030085,0.32570151564154043,0.11248758894524463,0.9512370275535772,0.06769679643284385,0.5724693721102313,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
poisson_2d,32,32,32,10000,1000,0,28.324959993362427,0.0007870197296142578,0.002457141876220703,false,0.000014333949004436853,0.00002959266891238575,1.989130188702212e-6,0.13877056406944313,0.00041476287710914914,28.93570201609285,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
wave,64,64,16,0,1000,9,0.0025911331176757812,0.00019693374633789062,0.03583884239196777,false,0.8644244746091323,1.7290600290004094,0.0005132465530857141,0.0005937436620102517,0.0002556346352812184,0.0002957281321735007,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
wave,64,64,16,0,10,8,0.0017621517181396484,0.00018715858459472656,0.0333707332611084,false,0.8659381027525055,1.732087654892955,0.0005132651813182683,0.0005927273319961126,0.0002556346352812184,0.0002952112102108082,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
drift_diffusion,16,16,16,0,100,8,0.0020673274993896484,0.0003390312194824219,0.009897947311401367,true,0.8147342938784675,2.2439848243009926,0.08758418555352415,0.10750030557396534,0.06769679643284385,0.0830906430985978,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
wave,128,128,16,10000,10,1,10.730316877365112,0.00038695335388183594,0.0925140380859375,false,0.32440746052118136,0.6488347222088342,0.00009271987973013592,0.0002858130314918636,0.00006338688741085187,0.0001953928165185127,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
poisson_2d,32,32,32,10000,10,9,10.495101928710938,0.0009012222290039062,0.002429962158203125,false,0.08960421268731687,0.18498934232220252,0.00028785792296362293,0.003212548989946851,0.00041476287710914914,0.004628832335779864,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
poisson_1d,16,32,16,0,1,3,0.0012662410736083984,0.000031948089599609375,0.0004200935363769531,false,0.6754072081521889,0.9864953690841092,0.0024551275247156785,0.0036350330512943925,0.0025081860605056672,0.0037135908978047204,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
drift_diffusion,64,64,16,10000,100,2,12.696424961090088,0.0017528533935546875,0.04085898399353027,false,0.10865345401570177,0.3058784858688232,0.006544421238883706,0.06023205887166689,0.003851464283566381,0.03544723284185511,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
poisson_1d,32,32,16,10000,1000,7,17.20917510986328,0.000025033950805664062,0.0003688335418701172,false,4.880690423058015e-6,7.01278302026018e-6,5.774686025704944e-7,0.11831699052873908,0.000595948894502332,122.10339989495331,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
wave,256,256,16,0,1,0,0.002257108688354492,0.001013040542602539,0.2185688018798828,false,0.8666310231559833,1.7332752702032792,0.00003120545030809984,0.00003600776971318187,0.000015783443300198566,0.000018212414370674717,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
heat,32,32,16,0,10000,0,0.006740093231201172,0.0005686283111572266,0.011229276657104492,false,0.4293616673703614,1.217158446859447,0.0008459963546519755,0.0019703583690488854,0.0006581365706071615,0.0015328256354088122,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
wave,256,256,16,0,100,0,0.0024492740631103516,0.0009307861328125,0.21778011322021484,false,0.8666310231559833,1.7332752702032792,0.00003120545030809984,0.00003600776971318187,0.000015783443300198566,0.000018212414370674717,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
